0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:40:09 -0600] "GET /GameMaven/register HTTP/1.1" 200 16904
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:40:10 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:45:01 -0600] "POST /GameMaven/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:45:01 -0600] "GET /GameMaven/home.html HTTP/1.1" 200 27368
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:45:02 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:45:10 -0600] "POST /GameMaven/buyGame HTTP/1.1" 200 18389
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:45:10 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:23 -0600] "POST /GameMaven/addToCart HTTP/1.1" 200 13657
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:23 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:27 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:44 -0600] "POST /GameMaven/addToCart HTTP/1.1" 200 14086
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:44 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:51 -0600] "GET /GameMaven/home HTTP/1.1" 200 27368
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:52 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:58 -0600] "POST /GameMaven/buyGame HTTP/1.1" 200 18363
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:46:58 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:50:08 -0600] "POST /GameMaven/addToCart HTTP/1.1" 200 14392
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:50:08 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:50:14 -0600] "GET /GameMaven/finalBuy?user_name=asd HTTP/1.1" 200 15795
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:50:14 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:51:43 -0600] "GET /GameMaven/OrderDetails?user_name=1&number=1&user_name=1&user_name=1&user_name=1&number=1&number=1&prod_id=271 HTTP/1.1" 200 14063
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:51:43 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:51:47 -0600] "GET /GameMaven/home HTTP/1.1" 200 27368
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:51:48 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
